1.0	it	2015-10-16 11:40:32Z
Lead Out Move.info	Defines the lead out move as the tool leaves the stock.	Definisce il movimento dell'Utensile quando si allontana dal Grezzo.
Left		Sinistra
Left Down		Sinistra Giù
Left Hand		Mano Sinistra
Left Up		Sinistra Su
Left+Middle		Sinistra + Centrale
Left+Right		Sinistra + Destra
Legacy (0.9.7)		Legacy (0.9.7)
Length		Lunghezza Utensile
Length.info	The total length of the tool.	La lunghezza totale dell'utensile
Level First		Prima i Livelli
LEVEL_DURATION	Level {0} duration : {1}	Livello {0} durata: {1}
LIB_ACTIVE_ITEM_NOT_FOUND	Active item {0} not found, searching all libraries...	Elemento attivo {0} non trovato, ricerca in  tutte le librerie ...
LIB_DELETE_CONFIRM	Library {0} will be permanantly deleted!	Libreria {0} sarà permanentemente cancellata!
LibraryFiles	Library Files	File di libreria
LIBS_SAVE_CONFIRM	Save libraries before refresh?	Salvare le librerie prima di aggiornare?
LIBS_UNSAVED	The following libraries have unsaved changes	Le seguenti librerie hanno  modifiche non salvate
Licenced To		Licenza Per
License Key		Codice licenza
Line		Linea
Line Number Format		Formato numero di linea
Line Number Increment		Incremento numero di linea
Line Number Prefix		Prefisso numero di linea
Line Number Skip		Salta numero di linea
Line Number Space After		Spazio dopo il numero di linea
Line Number Start		Inizio numero di linea
Line Numbering		Numerazione linee
Line Space		Spazio di linea
Line Space.info	Number of height units used to space multiple lines of text.	Altezza linea, utilizzato come spazio per linee multiple di testo.
line width		Spessore linea
LINE_EDIT_1	Enter points then press enter or esc	Inserire i punti, quindi premere INVIO o ESC
Linear		Lineare
Linear.info	This property is not currently used	Questa proprietà non è attualmente utilizzata
Location		Posizione
Location.info		Posizione.info
Lower		Inferiore
Lower Left		Origine - SX-Basso
Lower Left.info	The location of the lower left point of the rectangle.	La posizione del punto in basso a sinistra del rettangolo.
M Codes		Codici M 
Machinability Index		Indice di lavorabilità
Machinability Index.info	Not currently used for toolpath generation!	Non è attualmente utilizzato per la generazione di PU!
Machine		Macchina
Machine Definitions		Definizioni Macchina 
Machine_Definitions	Machine Definitions	Definizioni Macchina 
Machining		Lavorazioni (MOP)
Machining Origin		Origine della lavorazione
Machining Origin.info	A drawing point to be used as the machining origin (X=0,Y=0) when gcode is created.	Un punto di disegno da utilizzare come origine di lavorazione (X = 0, Y = 0) quando il GCode viene generato.
Major Scale		Linee principali
Major Scale.info		Spaziatura delle linee principali della griglia in unità di disegno
Manual		Manuale
Mark All		Segna tutti
Marker Color		Colore marcatore
Match case		Maiuscole e  minuscole
Match whole word		Solo parole intere
MATCHES_REPLACED	{0} matches replaced	{0} corrispondenze sostituite
Material		Materiale
Material.info	Stock material.\r\nMay be used to determine which style library to use.	Materiale del Grezzo. Può essere usato per determinare quale libreria stile da utilizzare.
Material.info:ToolDefinition	The main tool material.	L'Utensile principale per il materiale
Materials		Materiale
MatrixIdentity	Identity	Identità
Max		Max
Max Crossover Distance		Massimo Incrocio
Max Crossover Distance.info	Maximum distance as a decimal (0 - 1.0) of the tooldiameter to be cut in horizontal transitions.	Spostamento massimo  da tagliare in passaggi orizzontali.\r\nIn rapporto (0 - 1.0) a [Diametro Utensile].
Max Crossover Distance.info:CAMStyle	Maximum distance as a % of the tooldiameter to be cut in horizontal transitions.	Spostamento massimo da tagliare in passaggi orizzontali.\r\nIn  rapporto (0 - 1.0) a [Diametro Utensile].
Max Line Width		Massima larghezza linea
Max Line Width.info	The maximum line width allowed (in pixels).\r\nA zero value will use an automatic setting.	Lo spessore massimo consentito (in pixel) della linea.\r\nSe 0 saranno usati valori determinati automaticamente.
Max Ramp Angle		Massimo Angolo di rampa
Max Ramp Angle.info	Maximum ramp angle.\r\nNot currently used for toolpath generation!	Massimo angolo di rampa.\r\n Non è attualmente utilizzato per la generazione di PU!
Max Value		Valore Massimo
Max Value.info		Valore Massimo
Maximum		Massimo
Maximum allowed error between arc segment and mid point of source segment.		Errore massimo consentito tra segmento di arco e il punto medio del segmento di origine.
Maximum allowed error when converting arcs to lines.		Errore massimo consentito nella conversione Arco > Linea
Maximum Arc Radius		Raggio massimo dell'arco
Maximum Arc Radius.info	A numerical value that controls the maximum radius allowed for arc moves. If an arcs radius exceeds this value, a straight line move (G1) is used.	Valore numerico che controlla il raggio massimo consentito per movimenti circolari. Se un raggio di arco supera questo valore, viene usato un movimento rettilineo (G1).
Maximum distance between points to be considered intersected.		Distanza massima tra i punti per essere considerati intersecanti.
Maximum Endmill Diameter		Diametro massimo Utensile
Maximum Tabs		Massimo  Fermi
Maximum Tabs.info	The maximum number of auto tabs to insert around each shape.	Il numero massimo di fermi da inserire in automatico attorno ad ogni forma.
Maximum.info		Massimo.info
Maze Generator		Generatore labirinto
Measure		Misura
MEASURE_1	Enter first measure point	Inserisci il primo punto di misura
MEASURE_2	Enter second measure point	Inserisci il secondo punto di misura
Melting Point		Punto di fusione
Melting Point.info	Informational.	Informativo.
Mesh		Mesh
Mesh Options		Opzioni Mesh
Meters		Metri
Method		Metodo
Method.info	None - Normal perpendicular sides.\nSlope - Value contains the angle in degrees from vertical.\nConvexRadius - Value contains the radius of the convex curve.\nConcaveRadius - Value contains the radius of the concave curve.	Nessuno - lati perpendicolari.\nPendenza - Valore dell'angolo in gradi dalla verticale.\nRaggio Convesso - Valore del raggio della curva convessa.\nRaggio Concavo - Valore del raggio della curva concava.
Millimeters		Millimetri
Milling Direction		Direzione di fresatura
Milling Direction.info	Controls the direction the cutter moves around the toolpath.\r\nConventional or Climb milling supported.	Controlla la direzione del taglio di tutto il PU.\r\nSono supportate Fresature Concorde o Discorde.
Min		Min
Min Value		Valore Minimo
Min Value.info		Valore Minimo.info
Minimum		Minimo
Minimum Arc Length		Lunghezza Minima Arco
Minimum Arc Length.info	A numerical value that controls the precision limits used for outputting arc moves (G2, G3).\nIf the length of an arc is less than the MinimumArcLength value then a straight move (G1) is used instead.	Valore numerico che controlla i limiti di precisione utilizzati per genereare movimenti circolari (G2, G3).\nSe la lunghezza di un arco è inferiore al Valore Minimo Arco allora è usato un movimento rettilineo (G1).
Minimum Tabs		Minimo Fermi
Minimum Tabs.info	The minimum number of auto tabs to insert around each shape.	Numero minimo di fermi da inserire in automatico attorno ad ogni forma.
Minimum.info		Minimo.info
Minor Scale		Linee secondarie
Minor Scale.info		Spaziatura delle linee secondarie della grglia in unità di disegno
MinorScale		Linee secondarie
MinorScale.info		Spaziatura delle linee secondarie della grglia in unità di disegno
Mirror		Specchia
MIRROR_EDIT1	Enter a point on the mirror line	
MIRROR_EDIT2	Select a second point along the mirror line	
Misc		Varie
Mixed		Misto
mm to inches		mm a pollici
MODIFIED_BY_ANOTHER_SOURCE	The file '{0}' has been modified by another source.	Il file '{0}' è stato modificato da un'altra fonte.
Module		Modulo
Mold		Stampo
Mold.info	If False then machine a positive image of the model.  If True then machine a negative mold of the model.	Se Falso la macchina lavora una immagine positiva del modello. Se Vero la macchina lavora una immagine negativa (Stampo) del modello.
MOP		MOP
MOP.info	Defines how each item of the {$mops} macro is formatted. Each active machining operation in the drawing will have its own 'MOP' section.	Definisce come ogni elemento della macro {$mops} è formattato. Ogni Lavorazione attiva nel disegno avrà la propria sezione 'MOP'.
MOP_Reorder	MOP reorder	Riordinare MOP
More...		Extra...
Motor Torque		Coppia del Motore
Motor Torque.info		Coppia del Motore.info
Move		Muovi
Moves		Mosse (Moves)
MSG_ABORTED	Operations aborted.	Operazioni interrotta.
MSG_ABORTING	Aborting current operations...	Interruzione operazioni in corso ...
MSG_ABORTING_EXCEED_5S	Waiting longer than 5s for thread abort	Attesa più lunga di 5 secondi per interruzione filettatura
MSG_EVALUATION_COUNT	You have used {0} of your 40 evaluation uses.	Hai usato {0} delle 40, sessioni di valutazione.
Name		Nome
Name.info	The name of the drawing minus file extension.	Il nome del disegno senza estensione.
Name.info:CAMPart	Descriptive name of this part	Nome descrittivo di questa Parte
Name.info:CAMStyle	Unique name of this item.	Nome univoco dello Stile.
Name.info:CAMStyleLibrary		Name.info: CAMStyleLibrary
Name.info:CAMStyleLibraryFolder		Name.info: CAMStyleLibraryFolder
Name.info:Layer	Unique name of the layer.	Nome univoco del Livello.
Name.info:MachineDefinition	Unique name of this item.	Nome univoco della Macchina.
Name.info:Material	Unique name of this item.	Nome univoco del Materiale.
Name.info:MaterialLibrary		Nome.info: MaterialLibrary
Name.info:MaterialLibraryCollection		Nome.info: MaterialLibraryCollection
Name.info:MOP3DSurface	Each machine operation can be given a meaningful name or description.\r\nThis name is written to the g-code as a comment.	Ad ogni MOP può essere dato un nome significativo o descrittivo. Questo nome è inserito nel GCode generato come commento.
Name.info:MOPDrill	Each machine operation can be given a meaningful name or description.\r\nThis name is written to the g-code as a comment.	Ad ogni MOP può essere dato un nome significativo o descrittivo. Questo nome è inserito nel GCode generato come commento.
Name.info:MOPEngrave	Each machine operation can be given a meaningful name or description.\r\nThis name is written to the g-code as a comment.	Ad ogni MOP può essere dato un nome significativo o descrittivo. Questo nome è inserito nel GCode come  commento.
Name.info:MOPLathe	Each machine operation can be given a meaningful name or description.\r\nThis name is written to the g-code as a comment.	Ad ogni MOP può essere dato un nome significativo o descrittivo. Questo nome è inserito nel GCode come commento.
Name.info:MOPNCFile	Each machine operation can be given a meaningful name or description.\r\nThis name is written to the g-code as a comment.	Ad ogni MOP può essere dato un nome significativo o descrittivo. Questo nome è inserito nel GCode come commento.
Name.info:MOPPocket	Each machine operation can be given a meaningful name or description.\r\nThis name is written to the g-code as a comment.	Ad ogni MOP può essere dato un nome significativo o descrittivo. Questo nome è inserito nel GCode come commento.
Name.info:MOPProfile	Each machine operation can be given a meaningful name or description.\r\nThis name is written to the g-code as a comment.	Ad ogni MOP può essere dato un nome significativo o descrittivo. Questo nome è inserito nel GCode come commento.
Name.info:ToolDefinition	Unique name of this item.	Nome univoco di questo Utensile.
Name.info:ToolLibrary		Name.info: ToolLibrary
NC File		File NC 
Nest		Nidificazione
Nest Each MOP		Nidifica ogni MOP
Nest Method		Metodo Nidificazione
Nest Method.info	Grid - a grid arry of part copies.\r\nIsoGrid - a grid with alternate rows offset.\r\nPointList - copy points are taken from a point list.	Griglia - una matrice a griglia di copie di parti.\r\nIsoGrid - una griglia con righe alternate offset.\r\nPointList - punti copia sono presi da un elenco di punti.
Nest Method.info:NestingInfo	Grid - a grid arry of part copies.\r\nIsoGrid - a grid with alternate rows offset.\r\nPointList - copy points are taken from a point list.	Griglia - una matrice a griglia di copie di parti.\r\nIsoGrid - una griglia con righe alternate offset.\r\nPointList - punti copia sono presi da un elenco di punti.
Nest to point list		Da Nidificazione a Elenco di punti 
Nest_Item_Move	Nest item move	Nidificazione voce mossa
Nesting		Nidificazione
Nesting Items		Elementi di Nidificazione
Nesting Items.info		Elementi che compongono la Nidificazione
Nesting.info	Nests can be used to create arrays of copies of parts.	Le Nidificazioni possono essere usate per creare di copie di parti ordinate come griglia (matrice).
New		Nuovo
New (0.9.8)		Nuovo (0.9.8)
New CAM style		Nuovo stile CAM
New CAM style variant		Nuova variante stile CAM 
New From Template...		Nuovo da modello ...
New layer		Nuovo Livello
New library		Nuova Libreria
New machining operation		Nuova MOP
New part		Nuovo Parte
New post processor		Nuovo processore
New Size		Nuova dimensione
New tool		Nuovo utensile
New_Layer	New layer	Nuovo Livello
New_Part	New part	Nuovo Parte
NEWER_VERSION	A newer version is available [{0}].\r\nWould you like to download it?	Una versione più recente è disponibile [{0}]. Vorresti scaricarlo?
No		No
No duplicate points detected!		Nessun punto da duplicare rilevato!
No objects selected!		Nessun oggetto selezionato!
No trimming objects selected		Nessun oggetto taglio selezionato
None		Nessuno
Normal		Normale
Normals		Normali
Notes		Note
Notes.info	General purpose notes.	Note di uso generale.
Num Flutes		Num. Taglienti
Number Format		Formato numero
Number Format.info	The number format to use when writing coordinates to the output file	Il formato del numero da utilizzare quando vengono generate le coordinate per il file gcode
Number Format.info:PostProcessor	This is a string formatting pattern that controls how floating point numbers are displayed.	Si tratta di un modello di formattazione di stringhe che controlla come numeri in virgola mobile vengono visualizzati.
Number Format.info:ToolLibrary		Numero Format.info: ToolLibrary
Number of Copies		Numero di copie
Number of Faces		Numero di facce
Number of Faces.info	The number of faces that make up the surface.	Il numero di facce che compongono la superficie.
Number of points		Numero di punti
Number of points to create from the selected geometry.		Numero di punti per creare a partire dalla geometria selezionata.
Number of Segments		Numero di segmenti
Number of Segments.info	The number of arc or line segments that make up the polyline.	Il numero di segmenti di arco o di linea che compongono la polilinea.
Number of steps around geometry.		Numero di passi intorno geometria.
Number of Teeth		Numero di denti
Number of teeth on the gear. Must be an integer. Minimum of 16 for 14.5 deg pressure angle and 13 for 20 deg pressure angle.		Numero di denti dell'ingranaggio. Deve essere un intero. Minimo di 16 per 14,5 gradi dell'angolo di pressione e 13 per 20 ° angolo di pressione.
Number of Teeth:		Numero di denti:
Number of Vertices		Numero di vertici
Number of Vertices.info	The number of vertices that make up the surface.	Il numero di vertici che compongono la superficie.
Object Visibility		Visibilità oggetti
OBJECT_EXTREMAS	Selected Objects Extrema	Estremi oggetti selezionati 
Off		Off
Offset		Offset
Offset Backtrack Check		Correggi Sovrapp.  
Offset Backtrack Check.info	If True, back track drawing glitches will be removed by the offset routine.	Se Vero, le sovrapposizione verranno rimosse in fase di creazione dei PU.
Offset Fill Geometry		Riempi geometria (sfalsato)
Offsets per step (X,Y,Z[,Scale])		Spostamento per copia (X, Y, Z [, Scala]) 
OK		OK
Online Forum		Forum Online
Online Scripting Help		Guida in linea 
Only positive numbers allowed.		Sono consentiti solo numeri positivi.
Open		Apri
Open Existing File		Apri file esistenti
Open Offset		Offset aperto
Open_Existing_File	Open Existing File	Apri file esistenti
Operations aborted.		Operazioni interrotta.
Operations are still in progress!\r\nExit CamBam?		Le operazioni sono ancora in corso!\r\nUscire da CamBam?
Optimisation Mode		Modalità Ottimizzazione
Optimisation Mode.info	If OptimisationMode=Standard, then toolpaths are ordered to minimize rapids.\r\nIf OptimisationMode=Experimental, then a new test optimizer will be used.\r\nIf OptimisationMode=None, then toolpaths are not optimised and are written in the order they were generated.	Se Modalità Ottimizzazione = standard, i PU sono generati per ridurre al minimo i rapidi.\nSe Modalità Ottimizzazione = Sperimentale, un nuovo ottimizzatore sperimentale sarà utilizzato.\nSe Modalità Ottimizzazione = Nessuno, i PU non sono ottimizzati e sono scritti nell'ordine come sono stati generati.
Optimisation Mode.info:CAMStyle	If OptimisationMode=Standard, then toolpaths are ordered to minimize rapids.\r\nIf OptimisationMode=None, then toolpaths are not optimised and are written in the order they were generated.	Se Modalità Ottimizzazione = standard, i PU sono generati per ridurre al minimo i rapidi.\nSe Modalità Ottimizzazione = Nessuno, i PU non sono ottimizzati e sono scritti nell'ordine come sono stati generati.
Optimisation Mode.info:MOP3DSurface	Controls how the toolpaths are ordered in gcode output.\r\n\r\nNew (0.9.8) - A new, improved optimiser currently in testing.\r\nLegacy (0.9.7) - Toolpaths are ordered using same logic as version 0.9.7.\r\nNone - Toolpaths are not optimised and are written in the order they were generated.	Controlla l'ordine di generazione dei PU nel GCode di uscita.\n\nNuovo (0.9.8) - Un nuovo, ottimizzatore migliorato attualmente in fase di test.\nLegacy (0.9.7) - I PU sono ordinati usando la logica della versione 0.9.7.\nNessuno - I PU non sono ottimizzati e sono scritti nell'ordine di generazione.
Optimisation Mode.info:MOPDrill	Controls how the toolpaths are ordered in gcode output.\r\n\r\nNew (0.9.8) - A new, improved optimiser currently in testing.\r\nLegacy (0.9.7) - Toolpaths are ordered using same logic as version 0.9.7.\r\nNone - Toolpaths are not optimised and are written in the order they were generated.	Controlla l'ordine di generazione dei PU nel GCode di uscita.\n\nNuovo (0.9.8) - Un nuovo, ottimizzatore migliorato attualmente in fase di test.\nLegacy (0.9.7) - I PU sono ordinati usando la logica della versione 0.9.7.\nNessuno - I PU non sono ottimizzati e sono scritti nell'ordine di generazione.
Optimisation Mode.info:MOPEngrave	Controls how the toolpaths are ordered in gcode output.\r\n\r\nNew (0.9.8) - A new, improved optimiser currently in testing.\r\nLegacy (0.9.7) - Toolpaths are ordered using same logic as version 0.9.7.\r\nNone - Toolpaths are not optimised and are written in the order they were generated.	Controlla l'ordine di generazione dei PU nel GCode di uscita.\n\nNuovo (0.9.8) - Un nuovo, ottimizzatore migliorato attualmente in fase di test.\nLegacy (0.9.7) - I PU sono ordinati usando la logica della versione 0.9.7.\nNessuno - I PU non sono ottimizzati e sono scritti nell'ordine di generazione.
Optimisation Mode.info:MOPNCFile	Controls how the toolpaths are ordered in gcode output.\r\n\r\nNew (0.9.8) - A new, improved optimiser currently in testing.\r\nLegacy (0.9.7) - Toolpaths are ordered using same logic as version 0.9.7.\r\nNone - Toolpaths are not optimised and are written in the order they were generated.	Controlla come i PU sono generatiin uscita gcode.\n\nNuovo (0.9.8) - Un nuovo, ottimizzatore migliore attualmente in fase di test.\nLegacy (0.9.7) - I PU sono ordinati usando la logica della versione 0.9.7.\nNessuno - I PU non sono ottimizzati e sono scritti in ordine come sono stati generati.
Optimisation Mode.info:MOPPocket	Controls how the toolpaths are ordered in gcode output.\r\n\r\nNew (0.9.8) - A new, improved optimiser currently in testing.\r\nLegacy (0.9.7) - Toolpaths are ordered using same logic as version 0.9.7.\r\nNone - Toolpaths are not optimised and are written in the order they were generated.	Controlla l'ordine di generazione dei PU nel GCode di uscita.\n\nNuovo (0.9.8) - Un nuovo, ottimizzatore migliorato attualmente in fase di test.\nLegacy (0.9.7) - I PU sono ordinati usando la logica della versione 0.9.7.\nNessuno - I PU non sono ottimizzati e sono scritti nell'ordine di generazione.
Optimisation Mode.info:MOPProfile	Controls how the toolpaths are ordered in gcode output.\r\n\r\nNew (0.9.8) - A new, improved optimiser currently in testing.\r\nLegacy (0.9.7) - Toolpaths are ordered using same logic as version 0.9.7.\r\nNone - Toolpaths are not optimised and are written in the order they were generated.	Controlla l'ordine di generazione dei PU nel GCode di uscita.\n\nNuovo (0.9.8) - Un nuovo, ottimizzatore migliorato attualmente in fase di test.\nLegacy (0.9.7) - I PU sono ordinati usando la logica della versione 0.9.7.\nNessuno - I PU non sono ottimizzati e sono scritti nell'ordine di generazione.
Options		Opzioni
Original Size		Dimensioni originali
Orthographic		Ortografica
Out File		File di output GCode
Out File.info	Filename of the gcode file to create	Il nome del file per creare gcode
Outer Tab Scale		Scala esterno Fermi
Outer Tab Scale.info		Scala esterno del Fermi.info
Outer Tab Scale.info:MachiningOptions	Scale the outer side of holding tab rectangle by this amount.	Scala il lato esterno dei rettangoli dei Fermi di questo valore.
Outside		Esterno
Outside Diameter		Diametro esterno
Outside Offsets		Esterno
OVERWRITE_FILE	The file '{0}' already exists!\r\nOverwrite existing file?	Il file '{0}' esiste già! Sovrascrivere il file esistente?
OVERWRITE_FILE_2	Do you want to overwrite this file?	Vuoi sovrascrivere il file?
Parent Style		Stile Genitore
Parent Style.info	The parent style this style is based on.\r\nDefault properties will inherit from the parent style.	Lo stile genitore su cui è basato questo stile.\nLe proprietà predefinite sono ereditate dallo stile genitore.
Part		Parte
Part Code		Codice Parte
Part Code.info	A general purpose identifier, may be used as a tool catalogue reference.	Un generico identificatore, per esempio un riferimento di catalogo.
Part_Reorder	Part reorder	Riordino Parte
Part1		Part1
Paste		Incolla
Paste format		Formato Incolla
Paste_Format	Paste format	Formato Incolla
PASTE_FORMAT_SELECT_MOP	First select a machining operation to paste the format to	Seleziona prima una MOP per incollare il formato
Peck Distance		Profondità per ritrarsi
Peck Distance.info	The incremental depth to drill before a retract.  If 0, then don't peck drill.	L'incremento di profondità della foratura prima di ritrarsi. Se è 0, fora senza ritrarsi.
Pen Width		Larghezza penna
Pen Width.info	Line width used to draw objects within this layer.	Spessore della linea usata per disegnare oggetti all'interno di questo Livello.
Percent		Per cento
Perimeters		Perimetri
Periodic		Periodico
Periodic.info	This property is not currently used	Questa proprietà non è attualmente utilizzato
Pitch Diameter		Diametro Passo
Pitch Diameter:		Diametro Passo:
Planar		Planare
Planar.info	This property is not currently used	Questa proprietà non è attualmente utilizzato
Plane Slice Only		Solo Piano di Taglio  
Plane Slice Only.info	For waterline machining methods, if True, then do simple plane slicing only.\r\nWARNING! If True, overhangs will not be detected.	Per i metodi di lavorazione a Waterline, se Vero, fa solo il piano di taglio.\r\nATTENZIONE! Se Vero, le sporgenze non vengono rilevate.
Plane Slice X		Piano di taglio X
Plane Slice Y		Piano di taglio Y
Plane Slice Z		Piano di taglio Z
Plane_Slice	Plane slice	Piano di taglio
Plugin disabilitati		
Plugins		Plugin
PLUGINS_DISABLED	Plugins disabled	Plugin disabilitati
Plunge Feedrate		Avanzamento Verticale
Plunge Feedrate.info	The feed rate to use when plunging.	La velocità di avanzamento da utilizzare quando il mandrino scende (Plunge Feedrate).
Poche1.SpindleDirection		Tasca 1. Direzione mandrino
Pocket		Tasca 
POCKET_UNCLOSED_SHAPES_IGNORED	Unclosed shapes in pocket ignored!	Forme non chiusa nella tasca ignorata!
Point Cloud Reader		Lettore nuvola di punti
Point list		Elenco di Punti
Point List		Elenco di Punti
Point List ID		ID Elenco di punti
Point List ID.info	If using a point list nest method, this property specifies the ID of the point list drawing object.	Se si utilizza un Elenco di punti nidificato, questa proprietà specifica l'ID del punto di prelievo della lista oggetto.
POINT_DRAW1	Enter points then press enter, (c)lose or esc	Inserire i punti poi premere INVIO, (C)hiude o ESC
Point_Select	Point select	Selezionare il punto
PointList		Elenco di Punti
Pointlist_Centers	Pointlist centers	Centro Elenco di Punti
Pointlist_Extremas	Pointlist extremas	Margini Elenco di Punti
Pointlist_Fill	Pointlist fill	Riempire Elenco di Punti
POINTLIST_FILL_NOT_SUPPORTED	Point fill on {0} not supported.	Punto di riempimento su {0} non è supportato.
Pointlist_From_Geometry	Pointlist from geometry	Elenco di Punti da geometria
POINTLIST_TOO_FEW_NUMBERS	Too few numbers in point pattern.	Pochi numeri nell'Elenco di Punti
Points		Punti
Points.info	A list of control points that define the polyline.	Un elenco di punti di controllo che definiscono la polilinea.
Points.info:Line		
Points.info:PointList	A list of the points contained in the point list.	Un elenco dei punti contenuti nell'elenco di punti.
Polar Array Copy		Serie polare
POLAR_ARRAY_1	Select the center point of the polar array	Selezionate il punto centrale della serie polare
Polar_Array_Copy	Polar array copy	Serie polare
POLY_DRAW1	Enter points then press enter, (c)lose or esc	Inserire i punti poi premere INVIO, (C)hiude o ESC
POLY_SUBTRACT1	Select the source objects, then press ENTER or ESC to cancel 	Selezionare gli oggetti originali, quindi premere INVIO (ESC per annullare)
POLY_SUBTRACT2	Select the objects to subtract, then press ENTER or ESC to cancel	Selezionare gli oggetti da sottrarre, quindi premere INVIO (ESC per annullare)
POLY_TRIM1	Select the objects to trim, then press ENTER or ESC to cancel	Selezionare gli oggetti da spuntare, quindi premere INVIO (ESC per annullare)
POLY_TRIM2	Select the trimming objects, then press ENTER or ESC to cancel	Selezionare gli oggetti taglio, quindi premere INVIO (ESC per annullare)
POLY_TRIM3	Remove [I]nside or [O]utside the trimming lines ?	Rimuovere [I] (Interno) o [O] (Esterno) le linee taglio?
POLY_TRIM3_CHARS	ioIO	ioIO
Polyline		Polilinea
Polyline Offset		Polilinea Offset
PolyRectangle		Rettangolo
Positive numbers are outside polyline, Negative numbers are inside		I numeri positivi sono al di fuori della polilinea, i numeri negativi sono all'interno
Post Build		Struttura post processor
Post File		File per post processor
Post File.info	Defines the general structure of the gcode output.\nIt typically includes three macros {$header}, {$mops} and {$footer}, which are evaluated based on rules defined in the post processor definition .	Definisce la struttura generale del GCode prodotto. In genere comprende tre macro {$header}, {$mop} e {$footer}, che vengono valutate in base alle regole definite nella definizione post processor.
Post Processor		Post Processor
Post Processor Macros		Macro Post Processor
Post Processor Macros.info	Post processor macros can be used to pass values to the post processor.\r\nDefine as macro=value pairs.\r\nThe post processor will refer to them as {$macro}.	Macro Post Processor può essere utilizzato per passare valori al post processor.\nDefinisci  coppie macro= valori.\nIl Post Processor fara riferimento a loro come {$macro}.
Post Processor.info	Post processor definitions can be used to customise the gcode output.	Definizioni del Post Processor che vengono utilizzate per personalizzare il GCode prodotto.
Post Processors		Post Processors
Post_Processors	Post Processors	Post Processors
Post-Build Command		Post-Build Command
Post-Build Command Args		Post-Build Command Args
Post-Build Command Args.info	Arguments to pass to the PostBuildCommand.\n{$cbfile.name} and {$outfile} macros can be used.	Argomenti da passare al Post-Build Command.\nPossono essere utilizzate le macro {$cbfile.name} e {$outfile}.
Post-Build Command.info	A command line tool for customising gcode output after it has been initially built by CamBam.	Uno strumento a riga di comando per personalizzare il GCode prodotto dopo che è stato generato da CamBam, ad esempio uno script per processare comandi non supportati dall'interprete di GCode.
POSTPROC_ERROR_LOADING_PP	Error loading post processor '{0}'.	Errore nel caricare il Post Processor '{0}'.
POSTPROC_ERROR_PARSING_MACRO	Error parsing custom macro ({0})	Errore analizzando la macro personalizzata ({0})
POSTPROC_NOT_FOUND	Post Processor '{0}' not found, using default.	Post Processor '{0}' non trovato, utilizzo quello predefinito.
POSTPROC_PP_ALREADY_LOADED	Warning! Post Processor ({0}) already loaded.	Attenzione! Post Processor ({0}) già caricato.
Preserve aspect ratio		Mantieni proporzioni
Pressure Angle		Angolo di pressione
Pressure Angle:		Angolo di pressione:
Primitive IDs		ID primitive
Primitive IDs.info	List of drawing objects from which this machine operation is defined.  	Elenco degli oggetti di disegno per i quali questa MOP è definita.
Primitive Type		Tipo primitivo
Primitive Type.info	A description of this type of object.	Una descrizione di questo tipo di oggetto.
Produce gcode		Produci gcode
Profile		Profilo 
Profile 3D Method		Metodo profilo 3D
Profile 3D Method.info	Method to use to generate 3D profile toolpath.	Metodo da utilizzare per generare PU per il profilo 3D.
Profile Method		Metodo profilo
Profile Method.info	The method used to determine the toolpath from the 3D model.	Il metodo utilizzato per determinare il PU dal modello 3D.
Project Lines to Surface		Proietta Linee su Superficie
Projection Resolution		Risoluzione di proiezione
Prompt		Chiedi
Prompt for Feature MOP (Experimental)		Richiedi Caratteristica MOP (sperimentale)
Property Cache Conflict		Conflitto nella Proprietà
Property:		Proprietà:
Property_Changed	Property changed	Proprietà cambiata
Python Script		
Radial Depth Of Cut		Profondità di taglio radiale
Radial Depth Of Cut.info	Recommended  radial depth of cut.\r\nNot currently used for toolpath generation!	Profondità di taglio radiale consigliata. Non è attualmente utilizzato per la generazione di PU!
Radius		Raggio
Radius.info	The radius of the arc.	Il raggio dell'arco.
Rapid		Rapido
Rapid Down To Clearance		Rapidi al Piano di Sicurezza.
Rapid Down To Clearance.info	If set True, and Z is above the clearance plane a rapid down to the clearance plane is used.  If False the current Z is maintained.	Se Vero, e Z è al di sopra del Piano di Sicurezza vengono utilizzati i Rapidi fino al Piano di Sicurezza.\n\nSe Falso il valore di Z viene mantenuto.
Rapid Velocity		Velocità Rapidi
Rapid Velocity.info		Velocità rapida.info
Rapid.info	Rule for a rapid move.	Imposta la velocità dei Rapidi
Ratio type for tooth size. Diametral Pitch = teeth per pitch diameter. Module = pitch diameter per teeth.		Tipo di rapporto per la dimensione dei denti. Passo denti = denti per diametro ruota. Modulo = diametro ruota per denti.
Rational		Razionale
Rational.info	This property is not currently used	Questa proprietà non è attualmente utilizzata
RawFiles	Raw Files	File Raw
Rebuild Toolpath Before Post		Rig. PU prima di rig. GCode 
Rebuild Toolpath Before Post.info	Controls whether to regenerate toolpaths before creating gcode post.	Determina se rigenerare o meno i PU prima che venga rigenerato il GCode
REBUILD_TOOLPATHS_BEFORE_POST	Rebuild toolpaths before post?	Rigenerare i PU prima di generare il GCode?
Rectangle		Rettangolo
Rectangle Box		Rettangolo Box
Redo		Ripeti
Refresh		Rinfresca
Region		Regione
Region Fill Style		Stile riempimento Regione
Region Fill Style.info	Method to use to fill regions.	Metodo da utsare per riempire le regioni.
